pop_tot_unw,pop_workingage_unw,worker_PS_unw,worker_PS_m_unw,worker_PS_f_unw,worker_PS_rur_unw,worker_PS_urb_unw,labor_force_PS_unw,labor_force_PS_m_unw,labor_force_PS_f_unw,labor_force_PS_rur_unw,labor_force_PS_urb_unw,pop_m_unw,pop_f_unw,pop_rur_unw,pop_urb_unw,s_casual_w_lf_PS_unw,s_casual_w_lf_P_unw,s_casual_w_lf_PS_m_unw,s_casual_w_lf_P_m_unw,s_casual_w_lf_PS_f_unw,s_casual_w_lf_P_f_unw,s_casual_w_lf_PS_rur_unw,s_casual_w_lf_P_rur_unw,s_casual_w_lf_PS_urb_unw,s_casual_w_lf_P_urb_unw,data,time,state_name,lf_share_unw,worker_share_unw,lf_share_m_unw,worker_share_m_unw,lf_share_f_unw,worker_share_f_unw,lf_share_urb_unw,worker_share_urb_unw,lf_share_rur_unw,worker_share_rur_unw
15140,11441,6220,4539,1680,3467,2753,6385,4684,1700,3534,2851,5902,5537,5786,5655,.64385277,.62443221,.59009391,.57913899,.79176468,.76572961,.81946802,.79852724,.42616627,.4109787,PLFS_1920,July 2019 - June 2020,GUJARAT,.55808061,.54365879,.79362929,.76906133,.30702546,.30341339,.50415564,.48682582,.61078465,.59920496
1157,880,555,407,148,261,294,574,424,150,264,310,498,382,390,490,.40069687,.24266145,.2995283,.20567375,.68666667,.42045453,.65909094,.37440759,.18064517,.15000001,PLFS_1920,July 2019 - June 2020,D & N. HAVELI & DAMAN & DIU,.6522727,.63068181,.85140562,.81726909,.39267015,.38743454,.63265306,.60000002,.6769231,.66923076
30585,22713,12629,8601,4027,6838,5791,13099,8951,4147,7000,6099,11579,11132,10843,11870,.64149934,.6321733,.60384315,.59341031,.72269112,.71658927,.85314286,.84143883,.39858994,.39245096,PLFS_1920,July 2019 - June 2020,MAHARASHTRA,.57671815,.55602521,.77303737,.74281025,.37252966,.36174992,.51381636,.48786858,.64557779,.63063729
13885,10733,5921,3941,1980,3619,2302,6291,4189,2102,3788,2503,5301,5432,5888,4845,.68097281,.66516924,.65361661,.63597125,.73549002,.72418809,.81652588,.79941159,.47582901,.46391338,PLFS_1920,July 2019 - June 2020,ANDHRA PRADESH,.58613622,.5516631,.79022825,.74344462,.38696614,.36450663,.51661509,.47512901,.64334238,.61463994
15942,11937,6465,4528,1935,3352,3113,6718,4716,2000,3436,3282,5973,5960,5549,6388,.64944923,.63701016,.63040709,.61969727,.69450003,.67954069,.83527356,.82067323,.45490554,.44741696,PLFS_1920,July 2019 - June 2020,KARNATAKA,.56278795,.54159337,.78955299,.75807804,.33557048,.32466444,.51377583,.48731998,.61921066,.60407281
1800,1380,673,492,181,291,382,740,533,207,323,417,700,680,621,759,.36891893,.35135135,.36022514,.33958724,.39130434,.38164252,.49845201,.47368422,.26858515,.25659472,PLFS_1920,July 2019 - June 2020,GOA,.53623188,.48768115,.76142859,.70285714,.30441177,.26617646,.54940712,.50329381,.52012885,.46859902
405,297,130,98,32,42,88,153,112,41,45,108,133,164,75,222,.43137255,.38410595,.51785713,.4642857,.19512194,.15384616,.64444447,.58139533,.3425926,.30555555,PLFS_1920,July 2019 - June 2020,LAKSHDWEEP,.5151515,.43771043,.84210527,.7368421,.25,.19512194,.48648649,.3963964,.60000002,.56
16543,11674,5554,3781,1773,2590,2964,6201,4095,2106,2867,3334,5383,6290,5123,6551,.56829542,.51256454,.60757023,.57284439,.49192783,.37542278,.64562261,.58525348,.50179964,.45352465,PLFS_1920,July 2019 - June 2020,KERALA,.53118038,.47575811,.76072824,.70239645,.33481717,.281876,.50892991,.45245001,.55963302,.50556314
22889,17330,9649,6308,3340,5040,4609,10270,6720,3549,5315,4955,8468,8861,8287,9043,.58334959,.55855232,.54092264,.52320552,.66356719,.62843633,.72304797,.68833429,.43350151,.42209113,PLFS_1920,July 2019 - June 2020,TAMIL NADU,.59261394,.55678016,.79357582,.74492204,.40051913,.37693262,.54793763,.50967598,.641366,.60818148
1993,1456,721,480,241,189,532,782,515,267,207,575,692,764,341,1115,.33759591,.31410256,.34563106,.31712061,.32209739,.30827066,.44927537,.41262135,.2973913,.27874565,PLFS_1920,July 2019 - June 2020,PONDICHERRY,.53708792,.49519232,.74421966,.6936416,.34947643,.31544504,.5156951,.47713006,.60703814,.55425221
